acronym,x,y,gc1,gc2,gc3,gc4,bio1,bio2,bio3,bio4,bio8,bio12,bio15,bio18
cho,3144924.3241341803,2043408.5556932357,0.4527,0.4368,0.0541,0.0565,13.6791666666667,12.275,0.393429487179487,6.763587614886229,9.71666666666667,571,40.745648783316796,65.7
fel,3054629.932457815,2378182.205609757,0.5746,0.2056,0.0334,0.1864,12.5541666666667,10.3583333333333,0.466591591591591,4.38968099551941,10.5666666666667,1083.5,25.708896927982398,183.70000000000002
laf,3040913.038310339,2386337.2786196102,0.5555,0.2385,0.0636,0.1423,12.9125,8.25833333333333,0.443996415770609,3.89668419650255,8.6,978,23.3336329164848,167.5
ldd,3098373.6003022725,2172269.8927685777,0.5724,0.1954,0.1029,0.1293,12.195833333333299,12.608333333333299,0.41749448123620303,6.35361237025955,8.45,429.7,33.1229065943231,67.69999999999999
lap,2880764.797462093,1866573.7451001292,0.0687,0.0111,0.0389,0.8814,16.2958333333333,11.5583333333333,0.39448236632537,6.2856784667909,10.149999999999999,569.8,65.5655537272729,38.1
man,3041105.712227716,2382977.48711408,0.4553,0.1725,0.0622,0.31,13.049999999999999,9.23333333333333,0.45484400656814405,4.0986139564048205,11.316666666666698,991.9,21.141823646215897,182.60000000000002
ped,3149123.2317677108,2067979.8001169048,0.0203,0.033,0.9226,0.0241,11.5208333333333,12.0416666666667,0.390963203463203,6.62829534966753,4.93333333333333,811.7,41.8933661664991,98.9
piz,3128348.818343713,2057353.8573299667,0.8059,0.0974,0.0572,0.0395,11.924999999999999,11.7333333333333,0.38469945355191204,6.69027448818602,8.149999999999999,822.3000000000001,46.8450147656537,79.1
lar,2976334.6774972063,2367559.3336039884,0.6614,0.1371,0.0545,0.1471,11.5041666666667,11.475,0.468367346938776,4.6804457020349,6.91666666666667,1542.2,38.7349620661926,204.8
lac,3037573.5396079095,2383071.7087944252,0.6178,0.1827,0.0183,0.1812,13.058333333333302,9.36666666666667,0.456910569105691,4.13262151739796,11.283333333333301,1000.1999999999999,22.460008909591302,177.8
las,3124690.5069268052,2053357.5207738804,0.0652,0.0165,0.9051,0.0132,11.908333333333301,12.0833333333333,0.387286324786325,6.7666909239750295,8,862.3000000000001,44.2453438128813,88.6
lam,3146638.3211355703,2049090.751286293,0.4789,0.2113,0.2194,0.0904,13.5333333333333,12.133333333333301,0.392664509169364,6.719284774348219,9.633333333333331,583.3,42.500652658924096,63
med,2950295.08974215,2303538.4300461654,0.0771,0.055,0.7924,0.0755,10.8416666666667,12.933333333333298,0.431111111111111,5.791994213541391,4.050000000000001,902.6999999999999,41.4816277626789,109
ndc,2963625.8588332804,1789180.5650141696,0.0274,0.0463,0.0788,0.8475,16.287499999999998,12.9916666666667,0.41506922257721,6.4661048061129005,9.833333333333329,680.5,70.1198455914079,35.099999999999994
lso,3177622.2092467267,1851376.6296387364,0.0223,0.0167,0.9398,0.0212,14.1583333333333,13.100000000000001,0.393393393393393,7.15102768626279,10.1,446.4,41.560069815454305,51.2
lro,3146296.5808331305,2041180.970013889,0.4613,0.351,0.1156,0.0721,13.766666666666701,12.3,0.39297124600639,6.77992804109485,9.783333333333331,558.6,39.7345784274544,67.4
led,2984584.435693288,2144599.808959074,0.7887,0.0682,0.0704,0.0727,12.4375,13.225,0.433606557377049,6.11158084741955,6.21666666666667,652.3000000000001,37.914701097404404,77
leg,3149282.3275291827,2021667.8411845223,0.5137,0.3665,0.0572,0.0626,14,12.05,0.383757961783439,6.91470764517068,9.9,458.8,38.8827470552158,57.1
liz,3343277.276575208,2299896.0172313834,0.6541,0.2796,0.0259,0.0404,13.4416666666667,9.65,0.423245614035088,4.85137437571389,8.533333333333331,1752.5,28.9425901507715,284.9
lle,3728795.683886869,2108735.4992437717,0.346,0.2343,0.0119,0.4079,14.9208333333333,10.4416666666667,0.407877604166667,5.611694701624669,16.0333333333333,798.6,28.0076634340181,170.3
